EventID,AttendanceID,EventDateTime,UserRole,ActionType,DeviceType,ProcessingTimeMinutes,RequirementID
E001,A001,15-07-26 09:10,Lecturer,GenerateQRCode,Laptop,2,FR-09
E002,A001,15-07-26 09:15,Student,QRCheckIn,Mobile,2,FR-03
E003,A001,15-07-26 09:16,Student,GPSVerification,Mobile,1,FR-10
E004,A001,15-07-26 09:17,Student,AttendanceConfirmation,Mobile,1,FR-11
E005,A001,15-07-26 09:20,Student,ViewAttendancePercentage,Mobile,2,FR-08
E006,A002,15-07-26 09:22,Student,QRCheckIn,Mobile,2,FR-03
E007,A002,15-07-26 09:23,Student,GPSVerification,Mobile,1,FR-10
E008,A002,15-07-26 09:24,Student,AttendanceConfirmation,Mobile,1,FR-11
E009,A002,16-07-26 13:20,Student,SearchAttendance,Mobile,2,FR-06
E010,A002,18-07-26 15:00,Lecturer,ViewAttendanceList,Laptop,3,FR-05
E011,A003,15-07-26 09:30,Student,ViewAttendanceDetail,Mobile,1,FR-07
E012,A003,15-07-26 09:35,Student,ViewAttendancePercentage,Mobile,2,FR-08
E013,A004,15-07-26 09:40,Student,QRCheckIn,Mobile,2,FR-03
E014,A004,15-07-26 09:41,Student,GPSVerification,Mobile,1,FR-10
E015,A004,15-07-26 09:42,Student,AttendanceConfirmation,Mobile,1,FR-11
E016,A005,15-07-26 09:45,Student,QRCheckIn,Mobile,2,FR-03
E017,A005,15-07-26 09:46,Student,GPSVerification,Mobile,1,FR-10
E018,A005,15-07-26 09:47,Student,AttendanceConfirmation,Mobile,1,FR-11
E019,A005,20-07-26 10:00,Student,ViewAttendancePercentage,Laptop,2,FR-08
E020,A006,15-07-26 10:05,Lecturer,ViewAttendanceList,Laptop,3,FR-05
E021,A006,20-07-26 10:10,Student,ViewAttendancePercentage,Laptop,2,FR-08
E022,A007,22-07-26 09:10,Lecturer,GenerateQRCode,Laptop,2,FR-09
E023,A007,22-07-26 09:15,Student,QRCheckIn,Mobile,2,FR-03
E024,A007,22-07-26 09:16,Student,GPSVerification,Mobile,1,FR-10
E025,A007,22-07-26 09:17,Student,AttendanceConfirmation,Mobile,1,FR-11
E026,A008,22-07-26 09:20,Student,QRCheckIn,Mobile,2,FR-03
E027,A008,22-07-26 09:25,Student,SearchAttendance,Mobile,2,FR-06
E028,A009,22-07-26 09:30,Student,QRCheckIn,Mobile,2,FR-03
E029,A009,22-07-26 09:35,Student,ViewAttendancePercentage,Mobile,2,FR-08
E030,A010,22-07-26 09:40,Student,ViewAttendanceDetail,Mobile,1,FR-07
E031,A010,22-07-26 09:45,Student,SearchAttendance,Mobile,2,FR-06
E032,A011,22-07-26 10:00,Lecturer,ViewAttendanceList,Laptop,3,FR-05
E033,A011,22-07-26 10:05,Lecturer,ViewAttendanceDashboard,Laptop,3,FR-12
E034,A012,22-07-26 10:10,Student,ViewAttendancePercentage,Mobile,2,FR-08
E035,A012,22-07-26 10:15,Student,SearchAttendance,Mobile,2,FR-06
E036,A012,22-07-26 10:20,Lecturer,ViewAttendanceDashboard,Laptop,2,FR-12
