Column,Table,Meaning,Data Type,Example,Why Students Need It
AttendanceID,PrototypeRecords,Unique attendance record ID,Text,A001,Connects attendance records to the activity log.
AttendanceDate,PrototypeRecords,Date the student recorded attendance,Date,15-07-26,Used for attendance trends and reporting.
SessionID,PrototypeRecords,Attendance session identifier,Text,130,Identifies the attendance session.
CourseCode,PrototypeRecords,Course associated with the attendance,Text,ICT105,Used to group attendance by course.
LecturerName,PrototypeRecords,Lecturer responsible for the session,Text,Dr. John,Used for reporting and attendance management.
AttendanceStatus,PrototypeRecords,Attendance result,Text,Present,Used to calculate attendance statistics.
GPSStatus,PrototypeRecords,GPS verification result,Text,Verified,Used to confirm attendance location.
AttendancePercentage,PrototypeRecords,Student's current attendance percentage for the semester,Decimal Number,85.7,Used to monitor the minimum 80% attendance requirement.
RequirementID,PrototypeRecords,Requirement supported by the record,Text,FR-08,Used for requirement traceability.
OwnerRole,PrototypeRecords,Role responsible for the attendance session,Text,Lecturer,Used for management and reporting.
EventID,ActivityLog,Unique activity event ID,Text,E001,Used to count activity events.
EventDateTime,ActivityLog,Date and time of the activity,Date/Time,15-07-26 09:15,Used for activity timeline analysis.
UserRole,ActivityLog,User performing the action,Text,Student,Used for filtering by user role.
ActionType,ActivityLog,Action performed,Text,QRCheckIn,Used to analyze system usage.
DeviceType,ActivityLog,Device used to access the system,Text,Mobile,Used to compare mobile and laptop usage.
